message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.353457])";"30";"turtlesim3.sim";"1729242330.104458456";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.353457])";"30";"turtlesim2.sim";"1729242330.097513258";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.355861])";"30";"turtlesim3.sim";"1729242330.088772564";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.355861])";"30";"turtlesim2.sim";"1729242330.080922725";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.358265])";"30";"turtlesim3.sim";"1729242330.072014344";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.358265])";"30";"turtlesim2.sim";"1729242330.065135832";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.360668])";"30";"turtlesim3.sim";"1729242330.056052835";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.360668])";"30";"turtlesim2.sim";"1729242330.048933071";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.363072])";"30";"turtlesim3.sim";"1729242330.040627472";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.363072])";"30";"turtlesim2.sim";"1729242330.033117878";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.365476])";"30";"turtlesim3.sim";"1729242330.024188756";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.365476])";"30";"turtlesim2.sim";"1729242330.016993932";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.367879])";"30";"turtlesim3.sim";"1729242330.008569931";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.367879])";"30";"turtlesim2.sim";"1729242330.001011281";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.370283])";"30";"turtlesim3.sim";"1729242329.992055393";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.370283])";"30";"turtlesim2.sim";"1729242329.985795197";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.372687])";"30";"turtlesim3.sim";"1729242329.976681771";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.372687])";"30";"turtlesim2.sim";"1729242329.969529990";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.375090])";"30";"turtlesim3.sim";"1729242329.959890574";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.375090])";"30";"turtlesim2.sim";"1729242329.953566430";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.377494])";"30";"turtlesim3.sim";"1729242329.943990272";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.377494])";"30";"turtlesim2.sim";"1729242329.937117212";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.379898])";"30";"turtlesim3.sim";"1729242329.928024299";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.379898])";"30";"turtlesim2.sim";"1729242329.921251115";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.382301])";"30";"turtlesim3.sim";"1729242329.912106633";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.382301])";"30";"turtlesim2.sim";"1729242329.905249978";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.384705])";"30";"turtlesim3.sim";"1729242329.896463900";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.384705])";"30";"turtlesim2.sim";"1729242329.889611336";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.387109])";"30";"turtlesim3.sim";"1729242329.879915190";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.387109])";"30";"turtlesim2.sim";"1729242329.873389636";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.389512])";"30";"turtlesim3.sim";"1729242329.863952057";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.389512])";"30";"turtlesim2.sim";"1729242329.857444974";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.391916])";"30";"turtlesim3.sim";"1729242329.848054600";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.391916])";"30";"turtlesim2.sim";"1729242329.841624396";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.394320])";"30";"turtlesim3.sim";"1729242329.832128547";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.394320])";"30";"turtlesim2.sim";"1729242329.824718295";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.396723])";"30";"turtlesim3.sim";"1729242329.816342639";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.396723])";"30";"turtlesim2.sim";"1729242329.808905746";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.399127])";"30";"turtlesim3.sim";"1729242329.800205393";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.399127])";"30";"turtlesim2.sim";"1729242329.793393285";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.401531])";"30";"turtlesim3.sim";"1729242329.784683687";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.401531])";"30";"turtlesim2.sim";"1729242329.777244175";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.403934])";"30";"turtlesim3.sim";"1729242329.768441066";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.403934])";"30";"turtlesim2.sim";"1729242329.761161677";"./src/turtle.cpp:update:260"
